#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Provided by GlobeFunder.com
246,Banco Bradesco S.A. - Preferred Shares,BBD,$2.58,"$139,250.87",Banking,
247,Bridgebio Pharma,BBIO,$9.26,"$1,384.21",Biotech,
248,Bath&Body Works,BBWI,$40.31,"$9,207.39",Retail,
249,Best Buy,BBY,$79.48,"$17,586.10",Retail,
250,Brunswick Corporation,BC,$72.25,"$5,238.60",Marine,
251,Boise Cascade,BCC,$70.94,"$2,798.42",Building Materials,
252,BCE,BCE,$44.13,"$40,249.00",Mass Media,
253,Banco De Chile,BCH,$19.04,"$9,747.69",Financial Services,
254,Brink's,BCO,$55.62,"$2,583.53",Security,
255,Blucora,BCOR,$22.59,"$1,081.70",Financial,
256,Balchem Corporation,BCPC,$120.88,"$3,884.49",Chemicals,
257,BioCryst Pharmaceuticals,BCRX,$10.94,"$2,039.48",Biotechnology,
258,Barclays PLC,BCS,$7.61,"$24,799.75",Global Banking Group,
259,Bain Capital Specialty,BCSF,$12.69,$819.30,Investment Company,
260,Bicycle Therapeutics,BCYC,$30.83,$915.33,Biotechnology,
261,Belden,BDC,$73.51,"$3,146.64",Hardware Developer,
262,Becton Dickinson,BDX,$249.51,"$70,705.07",Medical Instruments,
263,Bloom Energy,BE,$22.04,"$4,301.75",Green Energy,
264,Beam Therapeutics,BEAM,$42.54,"$2,997.75",Biotech,
265,Beacon Roofing Supply,BECN,$55.74,"$3,626.55",Industrials,
266,Ke Holdings,BEKE,$14.46,"$141,863.48",Real Estate,
267,Franklin Resources,BEN,$25.74,"$12,858.64",Asset Management,
268,Brookfield Renewable Corporation,BEPC,$30.45,"$5,244.05",Infrastructure,
269,Berry Global,BERY,$59.75,"$7,414.98",Plastic Packaging,
270,Brown Forman - Class A,BF.A,$65.94,"$31,563.50",Alcohol Provider,
271,Brown Forman,BF.B,$65.86,"$31,563.50",Alcohol Provider,
272,Bright Horizons Family Solutions,BFAM,$63.16,"$3,647.49",Child Care,
273,Saul Centers,BFS,$40.20,$960.59,REIT,
274,Bunge,BG,$96.08,"$14,392.80",Food Distribution,
275,BeiGene,BGNE,$205.00,"$162,363.90",Biotechnology,
276,B&G Foods Inc,BGS,$12.17,$872.20,Food company,
277,Bausch Health Companies,BHC,$7.13,"$2,569.56",Pharmaceuticals,
278,Brighthouse Financial,BHF,$49.78,"$3,441.28",Insurance,
279,Berkshire Hills Bancorp,BHLB,$28.55,"$1,285.46",Bank holding,
280,BHP Billiton,BHP,$61.18,"$127,975.65",Natural Resources,
281,Baidu,BIDU,$112.59,"$270,499.17",Chinese Search Engine,
282,Bigcommerce Holdings Inc,BIGC,$9.40,$692.60,Technology,
283,Biogen,BIIB,$284.98,"$41,037.52",Biotechnology,
284,Bilibili,BILI,$23.01,"$70,014.90",Video Sharing,
285,Bill.com Holdings,BILL,$111.21,"$11,751.74",Software,
286,Bio-Rad Laboratories,BIO,$407.98,"$12,089.75",Medical Products,
287,Brookfield Infrastructure Corp,BIPC,$41.05,"$4,537.81",-,
288,BJ's Wholesale Club Holdings,BJ,$68.38,"$9,192.61",Warehouse Clubs,
289,BNY Mellon,BK,$44.09,"$35,637.07",Custodian Banking,
290,Buckle,BKE,$44.34,"$2,221.07",Retail,
291,Black Hills Corporation,BKH,$68.75,"$4,474.13",Utilities,
292,Black Knight,BKI,$58.63,"$9,147.85",Financial Services,
293,Bakkt,BKKT,$1.48,$390.77,Financial Services,
294,Booking,BKNG,"$1,938.55","$75,195.15",Travel Booking,
295,Baker Hughes,BKR,$28.37,"$28,610.21",Oilfield Services,
296,BankUnited,BKU,$32.53,"$2,513.60",Financial Services,
297,BlackLine,BL,$68.63,"$4,102.49",Software,
298,Topbuild Corp,BLD,$161.22,"$5,154.58",Installer,
299,Ballard Power Systems,BLDP,$5.65,"$1,685.57",Energy Solutions,
300,Builders FirstSource,BLDR,$67.54,"$9,940.25",Manufacturer,
301,BlackRock,BLK,$700.22,"$105,169.89",Asset Management,
302,Blackbaud,BLKB,$57.86,"$3,072.22",Software,
303,Bloomin Brands Inc,BLMN,$21.03,"$1,846.30",Restaurant,
304,Blink Charging,BLNK,$12.78,$650.05,Electric Services,
305,Banco Macro,BMA,$13.43,"$1,622.69",Banking,
