#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Provided by GlobeFunder.com
1187,Grand Canyon Education Inc,LOPE,$104.77,"$3,263.29",Education,
1188,Lowe’s,LOW,$206.14,"$124,653.35",Home Improvement,
1189,Laredo Petroleum,LPI,$51.59,$867.41,Hydrocarbon exploration,
1190,LG Display,LPL,$5.05,"$4,776,839.60",Electronics,
1191,Open Lending Corp,LPRO,$7.00,$884.10,Analytics,
1192,Louisiana-Pacific Corporation,LPX,$61.85,"$4,434.36",Manufacture,
1193,Lam Research,LRCX,$443.92,"$60,541.50",Semiconductors,
1194,Stride,LRN,$32.65,"$1,404.98",Education,
1195,Lattice Semiconductor Corp,LSCC,$69.71,"$9,554.41",Microelectronics,
1196,Life Storage,LSI,$101.13,"$8,595.80",REIT,
1197,Lightspeed Commerce Inc,LSPD,$14.49,"$2,982.46",Software,
1198,Landstar System,LSTR,$168.37,"$6,048.74",Transport,
1199,LTC Properties,LTC,$37.06,"$1,501.11",Real Estate,
1200,"LIFE TIME GROUP HOLDINGS, INC.",LTH,$12.33,"$2,394.35",Leisure,
1201,Livent,LTHM,$22.24,"$3,989.27",Lithium Solutions,
1202,Lululemon,LULU,$321.24,"$40,990.77",Gym Clothing,
1203,Lumen Technologies,LUMN,$5.41,"$5,597.09",Telecommunications,
1204,Southwest Airlines,LUV,$37.28,"$22,135.07",Airline Service,
1205,Las Vegas Sands,LVS,$47.49,"$36,290.25",Casinos & Hotels,
1206,Lamb Weston Holdings,LW,$86.99,"$12,511.88",Food processing,
1207,Lexicon Pharmaceuticals,LXRX,$2.08,$392.55,Biotechnology,
1208,Lsb Industries,LXU,$13.62,"$1,116.80",Chemicals,
1209,Lyft,LYFT,$11.09,"$4,002.77",Ridesharing,
1210,Live Nation Entertainment,LYV,$69.37,"$16,016.13",Live Entertainment,
1211,"Legalzoom.com, Inc.",LZ,$8.89,"$1,712.65",Legal services,
1212,La-Z-Boy,LZB,$23.32,"$1,005.93",Furniture,
1213,Macy's,M,$20.40,"$5,530.68",Apparel Retail,
1214,Mastercard,MA,$345.84,"$332,511.18",Card Payments,
1215,Mid-America Apartment Communities,MAA,$157.60,"$18,199.18",Real estate,
1216,ManpowerGroup,MAN,$83.20,"$4,206.35",Industrials,
1217,Manhattan Associates,MANH,$119.04,"$7,427.72",Supply Chain Solutions,
1218,Manchester United,MANU,$21.85,"$3,599.68",Sport,
1219,Marriott,MAR,$153.79,"$48,680.62",Upmarket Hotels,
1220,Marathon Digital Holdings,MARA,$3.88,$453.35,Cryptocurrency mining,
1221,Masco Corporation,MAS,$47.42,"$10,694.58",Building Materials,
1222,Masimo,MASI,$142.59,"$7,495.19",Medical,
1223,Mattel,MAT,$16.72,"$5,925.59",Toys Production,
1224,Mativ Holdings Inc,MATV,$19.67,"$1,080.73",Cigarette company,
1225,Matthews International Corporation,MATW,$30.12,$912.58,Memorialization Products,
1226,Matson,MATX,$61.21,"$2,312.56",Transportation,
1227,Maxeon Solar Technologies,MAXN,$21.08,$948.95,Solar,
1228,Maxar Technologies,MAXR,$51.93,"$3,871.98",Space Technology,
1229,Merchants Bancorp,MBIN,$24.42,"$1,052.74",Financial Services,
1230,Mobile TeleSystems PJSC,MBT,$1.81,$7.59,Mobile Operator,
1231,Malibu Boats,MBUU,$55.45,"$1,128.15",Boat Building,
1232,Moelis & Co,MC,$40.77,"$2,796.89",Financial Services,
1233,Metropolitan Bank,MCB,$55.50,$606.71,Financial Services,
1234,McDonald’s,MCD,$266.12,"$194,912.59",Fast Food,
1235,Microchip Technology,MCHP,$72.67,"$39,969.12",Semiconductors,
1236,McKesson Corporation,MCK,$372.64,"$52,914.88",Healthcare,
1237,Moody's,MCO,$281.76,"$51,618.41",Credit Ratings,
1238,Monarch Casino & Resort Inc,MCRI,$78.17,"$1,482.23",Entertainment,
1239,Mister Car Wash Inc.,MCW,$9.46,"$2,885.23",Car wash,
1240,Mercury General,MCY,$34.16,"$1,891.48",Insurance,
1241,Pediatrix Medical Group Inc,MD,$14.77,"$1,226.94",Healthcare,
1242,MongoDB,MDB,$203.10,"$14,071.93",Database Platform,
1243,MDC Holdings,MDC,$32.42,"$2,310.38",Construction,
1244,Mondelez,MDLZ,$66.16,"$90,349.29",Oreo & Cadbury,
1245,Allscripts Healthcare Solutions,MDRX,$17.78,"$1,942.64",Hospital Software,
1246,Medtronic,MDT,$76.72,"$102,051.41",Medical Devices,
1247,MDU Resources Group Inc,MDU,$29.50,"$5,998.85",Construction,
1248,23andMe Holding Co,ME,$2.60,"$1,184.26",Biotechnology,
1249,Medpace Holdings Inc,MEDP,$206.00,"$6,406.58",Medical,
1250,"Montrose Environmental Group, Inc.",MEG,$43.42,"$1,290.08",Engineering,
1251,Methode Electronics,MEI,$44.11,"$1,592.00",Electronics,
1252,MercadoLibre,MELI,$843.98,"$42,447.88",LATAM E-commerce,
1253,Methanex Corporation,MEOH,$37.25,"$2,599.12",Methanol Producer,
1254,Metlife,MET,$71.47,"$56,075.81",Life Insurance,
1255,Meta Platforms,META,$119.43,"$316,674.38",Social Media,
1256,MFA Financial,MFA,$10.86,"$1,105.51",Real Estate,
1257,Manulife Financial,MFC,$17.49,"$32,965.24",Financial Services,
1258,Mizuho Financial Group,MFG,$2.46,"$4,312,914.43",Banking,
1259,Magna International,MGA,$57.11,"$16,321.22",Manufacturing,
1260,MGE Energy,MGEE,$71.05,"$2,569.41",Utilities,
1261,MoneyGram,MGI,$10.90,"$1,052.34",Payments Services,
1262,MGM Resorts,MGM,$35.66,"$13,694.16",Casinos & Hotels,
1263,MGP Ingredients Inc,MGPI,$110.88,"$2,438.70",Beverage,
1264,McGrath RentCorp,MGRC,$97.47,"$2,376.56",Rental,
1265,Magnolia Oil & Gas Corp,MGY,$22.91,"$4,953.12",Energy,
1266,Mohawk Industries,MHK,$97.50,"$6,194.57",Flooring,
1267,M/I Homes,MHO,$47.10,"$1,291.90",Home Building,
1268,Middleby,MIDD,$130.83,"$7,049.58",Cooking Equipment,
1269,Mirion Technologies,MIR,$5.80,"$1,207.29",Radiation Safety,
1270,McCormick & Company,MKC,$83.41,"$22,385.58",Food,
1271,Markel Corp.,MKL,"$1,253.44","$16,859.26",Insurance,
1272,MKS Instruments,MKSI,$82.25,"$5,470.18",Semiconductors,
1273,MarketAxess,MKTX,$278.59,"$10,485.24",Financial Services,
1274,Melco Crown Entertainment Limited,MLCO,$12.03,"$5,354.42",Casinos & Hotels,
1275,Mueller Industries,MLI,$61.22,"$3,481.26",Manufacturer,
1276,MillerKnoll Inc,MLKN,$18.54,"$1,400.82",-,
1277,Martin Marietta Materials,MLM,$348.22,"$21,621.22",Construction Materials,
1278,"MeridianLink, Inc.",MLNK,$14.13,"$1,143.37",Software,
1279,Marsh & McLennan,MMC,$165.19,"$81,935.81",Professional Services,
1280,Marcus & Millichap,MMI,$33.93,"$1,335.68",Commercial property,
1281,3M,MMM,$121.69,"$67,263.28",Conglomerate,
1282,Maximus Inc,MMS,$71.53,"$4,347.11",IT,
1283,Merit Medical Systems,MMSI,$71.26,"$4,056.08",Healthcare,
1284,MakeMyTrip,MMYT,$28.34,"$2,983.46",Travel,
1285,Monday.com,MNDY,$122.64,"$5,529.26",Software,
1286,Brigham Minerals Inc,MNRL,$33.32,"$2,014.07",Oil & gas,
1287,Monro Muffler Brake,MNRO,$44.52,"$1,400.40",Automotive repair,
1288,Monster,MNST,$100.78,"$52,581.32",Energy Drinks,
1289,Montauk Renewables Inc,MNTK,$11.34,"$1,628.47",Energy,
1290,Altria,MO,$46.56,"$83,443.53",Tobacco,
1291,ModivCare,MODV,$91.62,"$1,295.35",Healthcare,
1292,Molina Healthcare,MOH,$334.89,"$19,557.58",Healthcare,
1293,Hello Group,MOMO,$8.35,"$1,608.67",Social Platform,
1294,Morphic Holding Inc,MORF,$25.65,$988.87,Biotechnology,
1295,Morningstar,MORN,$214.57,"$9,107.68",Financial Research,
1296,"Mosaic Company, The",MOS,$45.36,"$15,444.22",Agriculture,
1297,MP Materials,MP,$28.61,"$5,079.51",Mining,
1298,Marathon Petroleum,MPC,$109.75,"$51,435.52",Oil & Gas,
1299,Medical Properties Trust,MPW,$11.39,"$6,822.42",Real Estate,
1300,Monolithic Power Systems Inc,MPWR,$367.03,"$17,229.12",Semiconductor,
1301,Marqeta,MQ,$6.51,"$3,548.62",Payments,
1302,Mercury Systems,MRCY,$43.91,"$2,546.01",Technology,
1303,Merck,MRK,$109.20,"$276,865.24",Prescription Drugs,
1304,Moderna,MRNA,$193.29,"$74,258.23",Biotechnology,
1305,Marathon Oil Corporation,MRO,$27.33,"$17,356.40",Oil & Gas,
1306,Marten Transport Ltd,MRTN,$20.27,"$1,643.83",Transport,
1307,Mirati Ther,MRTX,$43.62,"$2,511.94",Healthcare,
1308,Merus,MRUS,$13.21,$611.66,Biotechnology,
1309,Maravai Lifesciences,MRVI,$14.79,"$3,774.54",Biotechnology,
1310,Marvell Technology,MRVL,$38.99,"$33,266.27",Semiconductors,
1311,Morgan Stanley,MS,$86.86,"$146,802.87",Banking,
1312,MSA Safety,MSA,$129.92,"$5,093.49",Safety products,
1313,MSCI,MSCI,$471.59,"$37,707.47",Financial Services,
1314,Middlesex Water Company,MSEX,$87.92,"$1,550.78",Water utility,
1315,Microsoft,MSFT,$244.69,"$1,824,034.53",Tech Giant,
1316,Madison Square Garden Entertainment Corp,MSGE,$42.99,"$1,485.30",Entertainment,
1317,Madison Square Garden Sports Corp,MSGS,$160.22,"$3,898.51",Sports holding,
1318,Motorola Solutions,MSI,$252.44,"$42,208.75",Communications,
1319,MSC Industrial Direct,MSM,$81.88,"$4,574.93",Industrial equipment,
1320,Microstrategy,MSTR,$173.75,"$1,625.20",Business Intelligence,
1321,ArcelorMittal,MT,$25.46,"$21,353.29",Steel Production,
1322,M&T Bank,MTB,$140.05,"$24,174.49",Financial Services,
1323,Match Group,MTCH,$41.94,"$11,714.09",Online Dating,
1324,Mettler-Toledo International,MTD,"$1,428.19","$31,840.32",Lab Tech Products,
1325,Matador Resources,MTDR,$55.08,"$6,508.34",Oil & Gas,
1326,MGIC Investment,MTG,$12.69,"$3,769.25",Insurance,
1327,Meritage Corporation,MTH,$92.33,"$3,376.64",Construction,
1328,Materialise,MTLS,$9.15,$540.43,3D Printing,
1329,Vail Resorts,MTN,$251.21,"$10,129.77",Hospitality,
1330,Materion Corporation,MTRN,$85.00,"$1,744.89",Supplier,
1331,Matterport,MTTR,$2.80,$804.84,Software,
1332,Minerals Technologies Inc,MTX,$58.63,"$1,902.56",Minerals,
1333,MasTec Inc,MTZ,$85.50,"$6,689.03",Communications,
1334,Micron Technology,MU,$52.07,"$56,802.75",Computer Memory,
1335,MUFJ Financial Group,MUFG,$5.48,"$9,932,855.09",Japanese Banking,
1336,Murphy Oil Corporation,MUR,$42.19,"$6,558.65",Oil & Gas,
1337,Murphy USA,MUSA,$285.97,"$6,461.21",Gas provider,
1338,McEwen Mining,MUX,$5.41,$256.58,Metals Mining,
1339,Microvision,MVIS,$2.59,$430.03,Automotive Lidar Technology,
1340,Mueller Water Products,MWA,$10.91,"$1,700.78",Manufacturer,
1341,Magnachip Semiconductor,MX,$9.06,$400.23,Semiconductor,
1342,Myovant Sciences,MYOV,$26.89,"$2,603.03",Biotechnology,
1343,MYR Group Inc,MYRG,$86.40,"$1,434.30",Electricity,
1344,MYT Netherlands Parent,MYTE,$8.94,$757.07,E-commerce,
1345,N-ABLE INC.,NABL,$10.66,"$1,926.10",Software,
1346,The Duckhorn Portfolio Inc,NAPA,$16.70,"$1,923.58",Beverage,
1347,Inari Medical Inc,NARI,$66.15,"$3,549.14",Healthcare,
1348,National Instruments,NATI,$38.13,"$4,978.58",Software,
1349,Navient Corporation,NAVI,$16.59,"$2,256.24",Education Loans,
1350,New Age Beverage,NBEVQ,$0.00,$0.04,Beverages,
1351,National Bank Holdings,NBHC,$40.50,"$1,522.57",Financial Services,
1352,Neurocrine Biosciences,NBIX,$117.19,"$11,265.99",Pharmaceuticals,
1353,Nabors Industries,NBR,$141.06,"$1,328.18",Oil & Gas,
1354,NBT Bancorp,NBTB,$41.76,"$1,788.99",Financial,
1355,Norwegian Cruise Line Holdings,NCLH,$14.32,"$6,034.39",Cruise Operator,
1356,Ncino,NCNO,$25.87,"$2,872.46",Technology,
1357,NCR Corp,NCR,$23.44,"$3,220.66",Technology,
1358,Nasdaq OMX Group,NDAQ,$60.62,"$29,781.36",Exchange,
1359,Nordson,NDSN,$236.82,"$13,548.63",-,
1360,NextEra Energy,NEE,$84.14,"$167,199.89",Utilities,
1361,Newmont Mining,NEM,$46.14,"$36,623.11",Gold Mining,
1362,NeoGenomics,NEO,$11.02,"$1,391.86",Healthcare,
1363,Neogen Corporation,NEOG,$14.88,"$3,215.68",Food safety,
1364,Cloudflare,NET,$47.54,"$15,622.83",Website Services,
1365,New Relic,NEWR,$59.40,"$4,059.28",Software,
1366,New Fortress Energy,NFE,$44.15,"$9,216.17",Gas,
1367,National Fuel Gas Company,NFG,$62.80,"$5,745.28",Energy,
1368,Netflix,NFLX,$290.71,"$129,371.88",TV Streaming,
1369,NGM Biopharmaceuticals,NGM,$5.06,$413.53,Pharmaceuticals,
1370,Ingevity Corp,NGVT,$69.45,"$2,595.46",Chemical manufacturing,
1371,National HealthCare,NHC,$58.73,$901.16,Healthcare,
1372,National Health Investors Inc,NHI,$55.40,"$2,403.74",Real estate,
1373,NiSource,NI,$27.19,"$11,042.79",Natural gas,
1374,NICE Systems,NICE,$198.91,"$44,628.14",Software,
1375,NIO,NIO,$11.60,"$133,078.17",Electric Vehicles,
1376,New Jersey Resources,NJR,$48.57,"$4,681.49",Energy company,
1377,Nike,NKE,$105.95,"$165,768.41",Sportsware,
1378,Nikola Corporation,NKLA,$2.42,"$1,158.82",Electric Cars,
1379,Nektar Therapeutics,NKTR,$2.66,$499.96,Biotechnology,
1380,NortonLifeLock,NLOK,$20.36,"$14,382.97",Cybersecurity,
1381,Annaly Capital Management,NLY,$21.39,"$10,007.64",Asset Management,
1382,New Mountain Finance Corporation,NMFC,$11.99,"$1,210.23",Financial Services,
1383,NMI Holdings Inc,NMIH,$19.89,"$1,662.43",Insurance,
1384,Nomura,NMR,$3.55,"$1,543,379.10",Banking,
1385,Newmark Group,NMRK,$7.91,"$1,359.25",Real estate,
1386,Nelnet Inc,NNI,$92.06,"$3,416.41",Financials,
1387,National Retail Properties,NNN,$45.37,"$8,109.10",Real estate,
1388,Noah Holdings Limited,NOAH,$15.39,$962.77,Asset Management,
1389,Northrop Grumman,NOC,$529.87,"$81,553.40",Defense,
1390,Northern Oil & Gas,NOG,$31.73,"$2,470.89",Energy,
1391,Nomad Foods,NOMD,$16.99,"$2,931.39",Food,
1392,National Oilwell Varco,NOV,$19.85,"$7,797.18",Oil & Gas,
1393,Sunnova Energy International,NOVA,$21.45,"$2,464.82",Solar,
1394,Novanta,NOVT,$141.52,"$5,050.88",Photonics,
1395,ServiceNow,NOW,$394.37,"$79,662.74",Business Software,
1396,Enpro Industries,NPO,$105.68,"$2,198.44",Industrial technology,
1397,National Research,NRC,$37.88,$935.30,Market Research,
1398,Nerdy,NRDY,$1.95,$316.78,Learning Platform,
1399,NRG Energy,NRG,$31.05,"$7,153.43",Utilities,
1400,National Storage Affiliates Trust,NSA,$36.56,"$3,322.04",Real estate,
1401,Norfolk Southern Corporation,NSC,$250.60,"$58,017.46",Rail Logistics,
1402,Insight Enterprises,NSIT,$96.22,"$3,351.45",Technology,
1403,Insperity,NSP,$112.75,"$4,277.10",Services,
1404,NAPCO Security Technologies Inc,NSSC,$26.96,$990.64,Technology,
1405,NetApp,NTAP,$60.32,"$13,003.38",Cloud Storage,
1406,Natura Holding S.A.,NTCO,$3.76,"$13,706.40",Personal Care,
1407,NetScout Systems Inc,NTCT,$32.16,"$2,323.43",Application performance,
1408,NetEase,NTES,$71.30,"$367,485.30",Chinese Tech,
1409,Intellia Therapeutics Inc,NTLA,$36.86,"$3,064.47",Biotech,
1410,Nutanix,NTNX,$31.17,"$7,172.54",Software,
1411,Nutrien,NTR,$73.70,"$52,487.52",Fertilizers,
1412,Natera,NTRA,$43.32,"$4,710.16",-,
1413,Northern Trust Corporation,NTRS,$86.95,"$18,121.74",Financial Services,
1414,Netstreit Corp,NTST,$19.19,"$1,053.08",Real Estate,
1415,Nu Holdings,NU,$3.90,"$18,081.34",Financial Services,
1416,Nucor,NUE,$133.60,"$34,274.23",Steel Production,
1417,Nu Skin Enterprises Inc,NUS,$40.33,"$1,993.12",Network marketing,
1418,NuVasive,NUVA,$40.38,"$2,105.17",Medical Devices,
1419,Novavax,NVAX,$11.03,$865.90,Biotechnology,
1420,NovoCure,NVCR,$74.78,"$7,848.16",Medical Equipment,
1421,Nvidia,NVDA,$165.71,"$407,646.62",GPU Developer,
1422,NV5 Global Inc,NVEE,$134.83,"$2,097.95",Engineering,
1423,Nuvei,NVEI,$26.32,"$5,097.04",Financial Services,
1424,Nova,NVMI,$84.82,"$8,502.30",Semiconductors,
1425,Novo Nordisk,NVO,$133.18,"$232,438.51",Pharmaceuticals,
1426,NVR,NVR,"$4,815.88","$15,391.01",Housing Construction,
1427,Nevro Corp,NVRO,$39.64,"$1,404.45",Medical,
1428,Novartis AG,NVS,$90.48,"$203,715.91",Pharmaceuticals,
1429,nVent Electric,NVT,$37.05,"$6,172.05",Electricity,
1430,Invitae Corporation,NVTA,$2.11,$512.51,Gene Testing,
1431,Northwest Bancshares Inc,NWBI,$13.70,"$1,739.74",Financial services,
1432,NorthWestern Corporation,NWE,$56.71,"$3,276.63",Utilities,
1433,Newell Rubbermaid,NWL,$13.07,"$5,405.75",Consumer Goods,
1434,Northwest Natural Gas Co,NWN,$46.34,"$1,626.50",Gas company,
1435,News Corporation,NWSA,$17.83,"$10,313.83",Media,
1436,Nextgen Healthcare,NXGN,$18.80,"$1,270.97",Health IT,
1437,NXP Semiconductors,NXPI,$163.72,"$42,425.55",Semiconductors,
1438,Nexpoint Residential Trust Inc,NXRT,$43.65,"$1,115.23",Real Estate,
1439,Nexstar Media Group,NXST,$177.78,"$6,703.81",Media,
1440,New York Community Bancorp,NYCB,$8.72,"$5,932.12",Banking,
1441,New York Mortgage Trust,NYMT,$2.83,"$1,050.11",Real Estate,
1442,New York Times,NYT,$32.43,"$5,364.51",Media,
1443,Realty Income,O,$63.48,"$39,811.73",Real Estate,
1444,Origin Bancorp,OBNK,$36.25,"$1,111.94",Financial Services,
1445,Owens Corning,OC,$91.13,"$8,516.67",Building Materials,
1446,OceanFirst,OCFC,$20.92,"$1,237.24",Financial Services,
1447,Old Dominion Freight Line,ODFL,$294.88,"$32,578.81",Shipping,
1448,Office Depot,ODP,$43.81,"$2,006.97",Office Supplier,
1449,Omega Flex,OFLX,$102.63,"$1,035.98",Industrial Products,
1450,OGE Energy,OGE,$39.50,"$7,908.00",Gas company,
1451,Organon & Co.,OGN,$27.44,"$6,979.76",Healthcare,
1452,ONE Gas,OGS,$74.32,"$4,023.76",Gas provider,
1453,O-I Glass Inc,OI,$16.08,"$2,494.61",Glass products,
1454,Oneok,OKE,$64.49,"$28,824.04",Natural Gas,
1455,Okta,OKTA,$67.92,"$10,879.64",Identity & Access,
1456,Universal Display,OLED,$110.37,"$5,213.50",Display,
1457,Ollies Bargain Outlet Holdings,OLLI,$50.17,"$3,122.53",Services,
1458,Olin,OLN,$51.40,"$7,041.80",Chemicals,
1459,Olaplex,OLPX,$5.49,"$3,564.01",Hair Products,
1460,Omnicom Group,OMC,$77.13,"$15,728.04",Communications,
1461,Omnicell,OMCL,$48.74,"$2,176.23",Healthcare,
1462,OneMain Holdings Inc,OMF,$34.22,"$4,182.09",Financial services,
1463,Owens & Minor Inc,OMI,$19.60,"$1,494.19",Healthcare,
1464,ON Semiconductor,ON,$65.38,"$28,271.85",Semiconductors,
1465,Old National Bancorp,ONB,$17.11,"$5,011.35",Banking,
1466,1Life Healthcare,ONEM,$16.89,"$3,451.48",Healthcare,
1467,Orion Office REIT,ONL,$8.88,$502.92,Real Estate,
1468,Onto Innovation Inc,ONTO,$71.19,"$3,525.11",Technology,
1469,Option Care Health,OPCH,$29.80,"$5,420.65",Healthcare,
1470,Opendoor Technologies,OPEN,$1.26,$799.10,Real Estate,
1471,OppFi,OPFI,$2.11,$231.22,Credit App,
1472,Opko Health,OPK,$1.25,$965.86,Pharmaceuticals,
1473,Ormat Technologies,ORA,$85.29,"$4,780.35",Geothermal Energy,
1474,Orange ADR,ORAN,$9.76,"$24,448.57",Services,
1475,Owl Rock Capital Corp,ORCC,$11.79,"$4,643.17",Finance,
1476,Oracle,ORCL,$79.58,"$214,567.82",Data Software,
1477,Origin Materials,ORGN,$5.21,$743.49,Sustainable Materials,
1478,Old Republic International,ORI,$23.56,"$7,169.39",Financial Services,
1479,O'Reilly Auto Parts,ORLY,$811.77,"$50,797.24",Auto Parts & Tools,
1480,Oscar Health Inc.,OSCR,$2.30,$493.94,Health Insurance,
1481,Oak Street Health Inc,OSH,$20.91,"$5,079.37",Healthcare,
1482,OSI Systems,OSIS,$79.59,"$1,341.47",Security,
1483,Oshkosh Corporation,OSK,$84.94,"$5,554.55",Access equipment,
1484,Overstock.com,OSTK,$20.43,$934.46,Online Marketplace,
1485,Open Text,OTEX,$28.74,"$7,768.79",Software,
1486,Otis Worldwide Corp,OTIS,$78.60,"$32,743.67",Elevators & more,
1487,Oatly,OTLY,$1.36,$805.34,Oat Drinks,
1488,Otter Tail Corporation,OTTR,$57.77,"$2,405.02",Energy company,
1489,Outfront Media,OUT,$16.79,"$2,756.14",Real Estate,
1490,Encana Corporation,OVV,$50.17,"$12,455.30",Natural Gas,
1491,Blue Owl Capital,OWL,$10.53,"$14,689.30",Asset Management,
1492,Oxford Industries Inc,OXM,$98.36,"$1,550.99",Clothing,
1493,Occidental,OXY,$62.53,"$56,834.40",Oil & Gas,
1494,Bank Ozk,OZK,$39.28,"$5,055.80",Banking,
1495,Ozon,OZON,$11.60,"$2,501.56",Russian E-commerce,
1496,Pan American Silver Corp,PAAS,$15.98,"$3,372.42",Metals Mining,
1497,Pacific Biosciences of California,PACB,$9.58,"$2,166.13",Biotechnology,
1498,PacWest Bancorp,PACW,$22.30,"$2,627.12",Financial Services,
1499,Penske Automotive Group,PAG,$118.80,"$8,470.85",Transportation,
1500,PagSeguro Digital Ltd,PAGS,$7.70,"$2,537.98",-,
1501,Pampa Energia SA,PAM,$26.11,"$2,801.81",Energy Production,
1502,Palo Alto Networks,PANW,$151.00,"$45,655.89",Cybersecurity,
1503,PAR Technology,PAR,$22.20,$605.83,POS,
1504,Paramount Global,PARAA,$20.01,"$11,334.16",Media,
1505,Par Pacific Holdings Inc,PARR,$21.08,"$1,271.50",Oil & gas,
1506,UiPath,PATH,$12.73,"$7,037.59",Enterprise Automation Software,
1507,Patrick Industries Inc,PATK,$61.90,"$1,402.88",Manufacture,
1508,"Paymentus Holdings, Inc.",PAY,$8.02,$986.38,IT,
1509,Paycom Software,PAYC,$311.40,"$18,019.62",Software,
1510,Payoneer Global,PAYO,$5.26,"$1,842.02",Financial Services,
1511,Paychex,PAYX,$115.96,"$41,791.97",Payroll,
1512,Prosperity Bancshares,PB,$68.36,"$6,241.85",Financial Services,
1513,Pembina Pipeline,PBA,$32.73,"$24,704.55",Transport,
1514,PBF Energy,PBF,$36.58,"$5,101.90",Oil & Gas,
1515,Prestige Brands,PBH,$60.61,"$3,001.77",Healthcare,
1516,Pitney Bowes,PBI,$3.85,$669.92,Marketing Solutions,
1517,Petroleo Brasileiro S.A.,PBR,$9.37,"$309,000.53",Oil & Gas,
1518,Paccar,PCAR,$98.23,"$34,161.20",Trucks,
1519,PG&E Corporation,PCG,$16.08,"$39,644.32",Utilities provider,
1520,PotlatchDeltic Corp,PCH,$45.59,"$3,682.61",Real estate,
1521,Procore Technologies,PCOR,$49.84,"$6,878.37",Construction,
1522,Pacira Pharmaceuticals Inc,PCRX,$38.44,"$1,763.71",Pharmaceutical,
1523,Paylocity,PCTY,$199.44,"$11,103.60",Software,
1524,Vaxcyte,PCVX,$45.80,"$3,617.29",Biotechnology,
1525,Pagerduty,PD,$26.60,"$2,393.36",Cloud Services,
1526,PDC Energy Inc,PDCE,$62.23,"$5,734.16",Oil & Gas,
1527,Pinduoduo Inc,PDD,$87.03,"$110,039.43",E-commerce,
1528,Piedmont Office Realty Trust Inc,PDM,$8.88,"$1,095.75",Real estate,
1529,Healthpeak Properties,PEAK,$25.15,"$13,519.13",Healthcare,
1530,Pebblebrook Hotel Trust,PEB,$14.80,"$1,945.79",Real estate,
1531,PHILLIPS EDISON & COMPANY INC,PECO,$32.03,"$3,750.71",Services,
1532,Public Service Enterprise Group,PEG,$59.24,"$29,557.78",Utilities,
1533,Pegasystems,PEGA,$35.98,"$2,957.23",Software,
1534,Penumbra,PEN,$223.06,"$8,471.48",Medical,
1535,PENN Entertainment,PENN,$32.19,"$4,993.24",Casinos and Betting,
1536,PepsiCo,PEP,$180.34,"$248,456.04",Beverages,
1537,Perion Network,PERI,$25.72,"$1,148.73",Advertising,
1538,PetMed Express,PETS,$18.44,$388.64,Pet Pharmacy,
1539,Premier Financial Corp,PFC,$26.17,$930.77,Financial Services,
1540,Pfizer,PFE,$51.40,"$288,524.35",Pharmaceuticals,
1541,Principal Financial Group,PFG,$84.92,"$20,778.46",Insurance,
1542,Performance Food Group,PFGC,$60.56,"$9,427.55",Food company,
1543,PROFRAC HOLDING CORP.,PFHC,#N/A,#N/A,Hydraulic industry,
1544,Provident Financial Services Inc,PFS,$20.63,"$1,552.92",Banking,
1545,PennyMac Financial Services,PFSI,$56.00,"$2,804.56",Financial Services,
1546,P&G,PG,$150.44,"$356,497.67",Head & Shoulders,
1547,Progyny Inc,PGNY,$31.83,"$2,956.47",Benefits,
1548,Progressive,PGR,$126.45,"$73,973.25",Insurance Holding,
1549,PropertyGuru,PGRU,$4.97,$803.50,Real Estate,
1550,PGT Innovations Inc,PGTI,$19.18,"$1,150.76",Manufacture,
1551,Parker-Hannifin,PH,$285.75,"$36,691.93",Motion Control,
1552,Koninklijke Philips,PHG,$13.61,"$11,463.26",Multinational Conglomerate,
1553,PulteGroup,PHM,$46.30,"$10,548.05",Homebuilding,
1554,Impinj,PI,$111.83,"$2,898.07",RFID,
1555,Polaris Industries Inc,PII,$103.27,"$5,985.38",Automotive manufacturer,
1556,Premier,PINC,$33.22,"$3,946.09",Technology,
1557,Pinterest,PINS,$24.80,"$16,820.13",Image Sharing,
1558,Piper Sandler Companies,PIPR,$133.93,"$2,388.37",Banking,
1559,Packaging Corp of America,PKG,$130.58,"$12,083.15",Consumer Cyclical,
1560,PerkinElmer,PKI,$137.66,"$17,388.65",Diagnostics,
1561,POSCO,PKX,$52.94,"$23,806,795.62",Steel Production,
1562,Photronics,PLAB,$17.22,"$1,062.29",Semiconductors,
1563,Dave & Buster's Entertainment,PLAY,$33.89,"$1,636.56",Restaurant Chain,
1564,Prologis,PLD,$112.24,"$103,606.34",Real Estate,
1565,Palomar Holdings,PLMR,$50.29,"$1,268.95",Financials,
1566,Planet Fitness,PLNT,$75.55,"$6,766.36",Fitness Centers,
1567,Pliant Therapeutics Inc,PLRX,$18.69,$911.31,Healthcare,
1568,Playtika Holding,PLTK,$8.89,"$3,210.40",Digital entertainment,
1569,Palantir,PLTR,$6.90,"$14,353.35",Data Analytics,
1570,Plug Power,PLUG,$14.02,"$8,172.32",Green Energy,
1571,ePlus inc,PLUS,$43.21,"$1,162.64",IT,
1572,Plexus Corp,PLXS,$103.96,"$2,872.13",Design,
1573,Philip Morris,PM,$100.28,"$155,454.25",Tobacco,
1574,PNC Financial,PNC,$150.39,"$60,655.14",Banking Services,
